date,symbol,action,shares,price,gross,commission,net_cash_change,cash_after,shares_after
2016-04-21 04:00:00,AAPL,BUY,395,24.0226,9488.927,9.488927,-9498.415927,501.584073,395
2016-06-23 04:00:00,AAPL,BUY,21,21.9178,460.2738,0.4602738,-460.7340738,40.84999920000001,416
2016-06-27 04:00:00,AAPL,SELL,416,20.9918,8732.588800000001,8.732588800000002,8723.856211200002,8764.706210400002,0
2016-06-30 04:00:00,AAPL,BUY,381,21.8037,8307.2097,8.3072097,-8315.5169097,449.1893007000017,381
2016-07-11 04:00:00,AAPL,SELL,381,22.1185,8427.148500000001,8.427148500000001,8418.7213515,8867.910652200002,0
2016-07-25 04:00:00,AAPL,BUY,379,22.2006,8414.0274,8.4140274,-8422.441427400001,445.46922480000103,379
2016-11-15 05:00:00,AAPL,SELL,379,24.6873,9356.4867,9.3564867,9347.130213299999,9792.5994381,0
2016-12-21 05:00:00,AAPL,BUY,344,26.9806,9281.3264,9.2813264,-9290.6077264,501.99171170000045,344
2017-06-27 04:00:00,AAPL,SELL,344,33.4086,11492.5584,11.4925584,11481.0658416,11983.057553300001,0
2017-08-02 04:00:00,AAPL,BUY,311,36.5257,11359.4927,11.3594927,-11370.8521927,612.2053606000009,311
2017-10-02 04:00:00,AAPL,SELL,311,35.892,11162.412,11.162412,11151.249588,11763.454948600001,0
2017-11-01 04:00:00,AAPL,BUY,286,38.9443,11138.0698,11.1380698,-11149.207869799999,614.2470788000028,286
2018-02-06 05:00:00,AAPL,SELL,286,38.1803,10919.5658,10.9195658,10908.6462342,11522.893313000002,0
2018-03-08 05:00:00,AAPL,BUY,263,41.6069,10942.6147,10.9426147,-10953.5573147,569.3359983000028,263
2018-04-13 04:00:00,AAPL,SELL,263,41.0872,10805.9336,10.805933600000001,10795.1276664,11364.463664700002,0
2018-07-24 04:00:00,AAPL,BUY,236,45.5583,10751.758800000001,10.751758800000001,-10762.5105588,601.9531059000019,236
2018-10-29 04:00:00,AAPL,SELL,236,50.2757,11865.065200000001,11.865065200000002,11853.200134800001,12455.153240700003,0
2019-02-12 05:00:00,AAPL,BUY,290,40.7961,11830.869,11.830869000000002,-11842.699869,612.4533717000031,290
2019-05-24 04:00:00,AAPL,SELL,290,42.8896,12437.984,12.437984,12425.546016,13037.999387700003,0
2019-07-01 04:00:00,AAPL,BUY,256,48.3008,12365.0048,12.365004800000001,-12377.3698048,660.6295829000028,256
2020-03-06 05:00:00,AAPL,SELL,256,69.9025,17895.04,17.89504,17877.14496,18537.774542900006,0
2020-04-30 04:00:00,AAPL,BUY,247,71.0561,17550.8567,17.5508567,-17568.4075567,969.3669862000061,247
2020-10-02 04:00:00,AAPL,SELL,247,109.8301,27128.0347,27.1280347,27100.9066653,28070.273651500007,0
2020-11-05 05:00:00,AAPL,BUY,230,115.6705,26604.215,26.604215,-26630.819215,1439.4544365000074,230
2021-04-19 04:00:00,AAPL,BUY,10,131.4565,1314.565,1.314565,-1315.879565,123.57487150000748,240
2021-05-26 04:00:00,AAPL,SELL,240,123.877,29730.48,29.73048,29700.74952,29824.32439150001,0
2021-06-28 04:00:00,AAPL,BUY,215,131.6212,28298.557999999997,28.298557999999996,-28326.856557999996,1497.4678335000135,215
2021-10-01 04:00:00,AAPL,SELL,215,139.5154,29995.811,29.995811000000003,29965.815189,31463.283022500014,0
2021-11-04 04:00:00,AAPL,BUY,202,147.6428,29823.8456,29.823845600000002,-29853.6694456,1609.6135769000139,202
2022-01-31 05:00:00,AAPL,SELL,202,171.1889,34580.1578,34.5801578,34545.5776422,36155.191219100016,0
2022-04-05 04:00:00,AAPL,BUY,200,171.6816,34336.32,34.33632,-34370.65632,1784.5348991000137,200
2022-05-03 04:00:00,AAPL,SELL,200,156.4023,31280.46,31.28046,31249.179539999997,33033.71443910001,0
2022-07-20 04:00:00,AAPL,BUY,208,150.3071,31263.8768,31.2638768,-31295.140676799998,1738.5737623000132,208
2022-09-19 04:00:00,AAPL,SELL,208,151.9321,31601.8768,31.6018768,31570.2749232,33308.84868550001,0
